"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rnd-1_family-895#Unknown",40.9941355176244,0.481869940878083,0.842387586435385,1.36517474032976,0.713717878497827,0.780633015700671
"rnd-1_family-328#Unknown",95.029842609297,-0.0618346543489927,0.48494877519915,1.36480946701521,0.713803916201573,0.780633015700671
"rnd-1_family-561#LINE/CR1",25.6819881036201,-0.591190825210637,0.675287192089688,1.3553327834571,0.716037545779743,0.782444253654477
"rnd-6_family-1216#Unknown",3.02168688378567,-0.16096958280258,1.96704792763199,1.33815332171951,0.720093743048743,0.786242563925098
"rnd-6_family-1202#Unknown",0.540005819472551,-0.832440251893826,4.9974237938661,1.33585141546657,0.720637916545227,NA
"rnd-5_family-1103#LINE/CR1",0.539359770775278,-0.832440230750098,4.99742379386612,1.3347329138705,0.72090238861185,NA
"rnd-3_family-170#LTR/Gypsy",0.538067673380732,-0.832440188388176,4.99742379386614,1.33249322792954,0.7214320785075,NA
"rnd-5_family-56#LINE/Rex-Babar",1.61984762848104,0.764681101863871,2.86157169003654,1.32980005240729,0.722069215497343,NA
"rnd-1_family-63#Unknown",690.972957527943,0.217910149898231,0.256281736290912,1.31264566028929,0.726132451925201,0.792015664629665
"rnd-1_family-330#Unknown",648.504392331553,0.0244175968954096,0.263611987530994,1.31088415369744,0.726550163199021,0.792015664629665
"rnd-6_family-523#Unknown",1.23443546524695,-1.5328948572394,3.07192078372796,1.30089889478593,0.728919635859165,NA
"rnd-1_family-496#Unknown",1.84449192485982,-0.877484291687056,3.13637889004326,1.29429946571699,0.730487167828703,0.795667292932389
"rnd-1_family-879#LINE/Penelope",1.18561250076368,1.36817717384562,3.04018665624585,1.29219002270871,0.730988463174063,NA
"rnd-1_family-804#Unknown",17.8925246249429,-0.657616635441224,0.761315281504605,1.28917501049006,0.731705168548571,0.796353817978565
"rnd-5_family-2168#LTR/Gypsy",3.12247271110345,-2.0876654686447,1.99042752921956,1.26348297102019,0.737822121189982,0.802366752979475
"rnd-1_family-862#Unknown",0.688180719804064,-2.87724010205654,4.23040662788968,1.26345363348739,0.737829115698017,NA
"rnd-4_family-1026#Unknown",0.416689235624546,2.666007549597,4.83873729783275,1.25893446282243,0.738906808158754,NA
"rnd-5_family-1110#Unknown",1.2620781751896,-1.25230202864766,2.97412937244619,1.25810940838665,0.739103614231179,NA
"rnd-4_family-693#Unknown",2.02381777267581,0.958914327124823,2.25755669342662,1.25404841327348,0.740072554116066,0.804154737347237
"rnd-4_family-1937#Unknown",1.05326613772213,-0.797337538084618,3.26856474040778,1.25344146295508,0.740217404799785,NA
"rnd-5_family-369#Unknown",81.7382744211353,0.273434510962819,0.396529899474021,1.2516155462118,0.740653219342695,0.804154737347237
"rnd-5_family-355#Unknown",34.5109874684102,0.0532742266452559,0.552184173111026,1.24248021395491,0.74283485639188,0.80587768647798
"rnd-1_family-638#DNA/TcMar-Tc1",9.96240757111826,0.149580295751311,0.969742648802783,1.23883953243529,0.743704844225061,0.806176051139966
"rnd-6_family-429#Unknown",1.44791181905574,-0.148375147188899,2.59978037829772,1.22879939752422,0.746105635188256,NA
